CustomerID,Lookalikes
C0001,"[('C0192', np.float64(0.9885334395887355)), ('C0184', np.float64(0.9268964900618957)), ('C0096', np.float64(0.9149107913230007))]"
C0002,"[('C0106', np.float64(0.9832049178481428)), ('C0134', np.float64(0.9775602326697311)), ('C0088', np.float64(0.9244287231556145))]"
C0003,"[('C0031', np.float64(0.9857350786431255)), ('C0052', np.float64(0.9750652033047329)), ('C0195', np.float64(0.9461051773474289))]"
C0004,"[('C0147', np.float64(0.9921528399065114)), ('C0165', np.float64(0.9833774128924404)), ('C0153', np.float64(0.9469731233981897))]"
C0005,"[('C0007', np.float64(0.972243044563755)), ('C0186', np.float64(0.9309072637433168)), ('C0140', np.float64(0.9290906468730604))]"
C0006,"[('C0085', np.float64(0.9864423297089211)), ('C0137', np.float64(0.9634538703426189)), ('C0191', np.float64(0.9568252191172718))]"
C0007,"[('C0005', np.float64(0.972243044563755)), ('C0186', np.float64(0.935858809666964)), ('C0140', np.float64(0.9011417975768004))]"
C0008,"[('C0065', np.float64(0.98693341524899)), ('C0059', np.float64(0.8661058725780116)), ('C0189', np.float64(0.8188348352645048))]"
C0009,"[('C0061', np.float64(0.9995073869072029)), ('C0149', np.float64(0.9507082712905416)), ('C0198', np.float64(0.899554769463286))]"
C0010,"[('C0062', np.float64(0.9610096798396152)), ('C0198', np.float64(0.9072083727644851)), ('C0053', np.float64(0.8827752739771881))]"
C0011,"[('C0171', np.float64(0.989314872871952)), ('C0118', np.float64(0.9819520258254728)), ('C0153', np.float64(0.981021901607684))]"
C0012,"[('C0195', np.float64(0.9752606864280811)), ('C0076', np.float64(0.9579622991629883)), ('C0163', np.float64(0.9111081265615011))]"
C0013,"[('C0099', np.float64(0.9203837888117298)), ('C0107', np.float64(0.8819138503455356)), ('C0133', np.float64(0.8258658529928083))]"
C0014,"[('C0060', np.float64(0.8108494699489585)), ('C0172', np.float64(0.8037242228877498)), ('C0182', np.float64(0.7940655023787347))]"
C0015,"[('C0185', np.float64(0.9841371770232024)), ('C0131', np.float64(0.9037308603292082)), ('C0125', np.float64(0.8726929042486684))]"
C0016,"[('C0183', np.float64(0.9294055939734454)), ('C0042', np.float64(0.9137506321661127)), ('C0058', np.float64(0.8943116167709357))]"
C0017,"[('C0075', np.float64(0.9922106595332099)), ('C0041', np.float64(0.9810298912285362)), ('C0019', np.float64(0.9525406129121792))]"
C0018,"[('C0117', np.float64(0.9645103417424267)), ('C0116', np.float64(0.9644257474931964)), ('C0047', np.float64(0.954019110620724))]"
C0019,"[('C0041', np.float64(0.9839612575520533)), ('C0017', np.float64(0.9525406129121792)), ('C0064', np.float64(0.9429481298454024))]"
C0020,"[('C0026', np.float64(0.9297080971059296)), ('C0050', np.float64(0.912618356984668)), ('C0035', np.float64(0.8849687225580296))]"
